bank_txn_id,txn_date,value_date,txn_timestamp_utc,transaction_type,narration,ref_no,debit,credit,balance
BNK000015,22/06/2026,22/06/2026,2026-06-22T11:12:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN260622882-,RZP-11-setl_FeAdZNmc6Ly7H7,,267510.20,4355922.84
BNK000016,24/06/2026,24/06/2026,2026-06-24T11:03:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26062325867887-CITIN26062413250063,RZP-GROUP-1N-10,,436324.37,4792247.21
BNK000017,26/06/2026,26/06/2026,2026-06-26T12:14:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26062476952782-CITIN26062669849840,RZP-GROUP-1N-11,,499815.20,5292062.41
BNK000018,28/06/2026,28/06/2026,2026-06-28T14:06:00+00:00,OPERATING_DEBIT,NEFT-CB08200006-COBALT CLOUD SERVICES,CB08200006,19078.00,,5272984.41
BNK000019,29/06/2026,29/06/2026,2026-06-29T13:25:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-1XN-PART1OF1-CITIN26062948125543-CITIN26062962399619,RZP-GROUP-1N-12,,406516.05,5679500.46
BNK000020,30/06/2026,30/06/2026,2026-06-30T10:10:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26063031261245,RZP-GROUP-N1-02,,3319.73,5682820.19
BNK000021,30/06/2026,30/06/2026,2026-06-30T14:36:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26063036434549,RZP-GROUP-N1-01,,102793.72,5785613.91
BNK000022,30/06/2026,30/06/2026,2026-06-30T15:48:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26063036434549,RZP-GROUP-N1-01,,1227.85,5786841.76
BNK000023,30/06/2026,30/06/2026,2026-06-30T16:58:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26063031261245,RZP-GROUP-N1-02,,1227.85,5788069.61
BNK000024,02/07/2026,02/07/2026,2026-07-02T11:20:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26063071629824,RZP-GROUP-N1-03,,108984.43,5897054.04
BNK000025,02/07/2026,02/07/2026,2026-07-02T12:32:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26063071629824,RZP-GROUP-N1-03,,44514.77,5941568.81
BNK000026,02/07/2026,02/07/2026,2026-07-02T13:42:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070268628320,RZP-GROUP-N1-04,,44514.77,5986083.58
BNK000027,02/07/2026,02/07/2026,2026-07-02T14:54:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070268628320,RZP-GROUP-N1-04,,277591.27,6263674.85
BNK000028,04/07/2026,04/07/2026,2026-07-04T16:40:00+00:00,OPERATING_CREDIT,IMPS-UNSUPCR2026-UNKNOWN ORIGINATOR,UNSUPCR2026,,35476.00,6299150.85
BNK000029,06/07/2026,06/07/2026,2026-07-06T10:26:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070694639547,RZP-GROUP-N1-06,,23082.50,6322233.35
BNK000030,06/07/2026,06/07/2026,2026-07-06T11:38:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070694639547,RZP-GROUP-N1-06,,59355.01,6381588.36
BNK000031,06/07/2026,06/07/2026,2026-07-06T12:48:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070651212167,RZP-GROUP-N1-07,,274265.38,6655853.74
BNK000032,06/07/2026,06/07/2026,2026-07-06T13:00:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070651212167,RZP-GROUP-N1-07,,42290.86,6698144.60
BNK000033,06/07/2026,06/07/2026,2026-07-06T14:10:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070656643250,RZP-GROUP-N1-08,,42290.86,6740435.46
BNK000034,06/07/2026,06/07/2026,2026-07-06T15:04:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070273550337,RZP-GROUP-N1-05,,253118.51,6993553.97
BNK000035,06/07/2026,06/07/2026,2026-07-06T15:22:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070656643250,RZP-GROUP-N1-08,,114341.97,7107895.94
BNK000036,06/07/2026,06/07/2026,2026-07-06T16:16:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070273550337,RZP-GROUP-N1-05,,23082.50,7130978.44
BNK000037,07/07/2026,07/07/2026,2026-07-07T12:23:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN26070720538331-RAZORPAY SOFTWARE PRIVATE LIM-,RZP-11-setl_oIPdU6ZKS6OkmD,,193308.88,7324287.32
BNK000038,08/07/2026,08/07/2026,2026-07-08T10:44:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070812180457,RZP-GROUP-N1-09,,3576.43,7327863.75
BNK000039,08/07/2026,08/07/2026,2026-07-08T11:54:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070817862755,RZP-GROUP-N1-10,,3576.43,7331440.18
BNK000040,08/07/2026,08/07/2026,2026-07-08T12:06:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26070817862755,RZP-GROUP-N1-10,,240706.08,7572146.26
BNK000041,08/07/2026,08/07/2026,2026-07-08T14:03:00+00:00,OPERATING_CREDIT,IMPS-CB08200003-BLUEBIRD DISTRIBUTION,CB08200003,,68982.00,7641128.26
BNK000042,08/07/2026,08/07/2026,2026-07-08T16:32:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26070812180457,RZP-GROUP-N1-09,,8756.08,7649884.34
BNK000043,10/07/2026,10/07/2026,2026-07-10T13:34:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN26071057712783-RAZORPAY SOFTWARE PRIVATE LIM-,RZP-11-setl_KueUbhY4pGNMt4,30366.70,,7619517.64
BNK000044,13/07/2026,13/07/2026,2026-07-13T13:16:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26071347268888,RZP-GROUP-N1-11,,153021.33,7772538.97
BNK000045,13/07/2026,13/07/2026,2026-07-13T14:28:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26071347268888,RZP-GROUP-N1-11,,39030.32,7811569.29
BNK000046,13/07/2026,13/07/2026,2026-07-13T15:38:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART1OF2-CITIN26071347669038,RZP-GROUP-N1-12,,39030.32,7850599.61
BNK000047,13/07/2026,13/07/2026,2026-07-13T16:50:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NX1-PART2OF2-CITIN26071347669038,RZP-GROUP-N1-12,,100363.67,7950963.28
BNK000048,16/07/2026,16/07/2026,2026-07-16T10:00:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26071430253445-CITIN26071421021948,RZP-GROUP-NM-01,,377650.95,8328614.23
BNK000049,16/07/2026,16/07/2026,2026-07-16T11:12:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26071430253445-CITIN26071421021948,RZP-GROUP-NM-01,,97601.76,8426215.99
BNK000050,16/07/2026,16/07/2026,2026-07-16T12:22:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26071419658777-CITIN26071654957589,RZP-GROUP-NM-02,,123382.05,8549598.04
BNK000051,16/07/2026,16/07/2026,2026-07-16T13:34:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26071419658777-CITIN26071654957589,RZP-GROUP-NM-02,,97601.76,8647199.80
BNK000052,17/07/2026,17/07/2026,2026-07-17T14:07:00+00:00,OPERATING_DEBIT,NEFT-CB08200007-ORCHID MEDIA WORKS,CB08200007,64347.00,,8582852.80
BNK000053,20/07/2026,20/07/2026,2026-07-20T10:18:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26072010942710-CITIN26072094138412,RZP-GROUP-NM-04,,303580.26,8886433.06
BNK000054,20/07/2026,20/07/2026,2026-07-20T14:44:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26071655851529-CITIN26072015967616,RZP-GROUP-NM-03,,205034.18,9091467.24
BNK000055,20/07/2026,20/07/2026,2026-07-20T15:56:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26071655851529-CITIN26072015967616,RZP-GROUP-NM-03,,205034.17,9296501.41
BNK000056,20/07/2026,20/07/2026,2026-07-20T16:06:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26072010942710-CITIN26072094138412,RZP-GROUP-NM-04,,233206.88,9529708.29
BNK000057,23/07/2026,23/07/2026,2026-07-23T16:40:00+00:00,OPERATING_DEBIT,NEFT-UNSUPDR2026-UNKNOWN BENEFICIARY,UNSUPDR2026,53399.00,,9476309.29
BNK000058,24/07/2026,24/07/2026,2026-07-24T11:28:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26072110726939-CITIN26072287296001,RZP-GROUP-NM-05,,234934.69,9711243.98
BNK000059,24/07/2026,24/07/2026,2026-07-24T12:40:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26072110726939-CITIN26072287296001,RZP-GROUP-NM-05,,150987.63,9862231.61
BNK000060,24/07/2026,24/07/2026,2026-07-24T13:50:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26072241693549-CITIN26072420144675,RZP-GROUP-NM-06,,207010.88,10069242.49
BNK000061,24/07/2026,24/07/2026,2026-07-24T14:02:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26072241693549-CITIN26072420144675,RZP-GROUP-NM-06,,150987.64,10220230.13
BNK000062,28/07/2026,28/07/2026,2026-07-28T10:34:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26072878072706-CITIN26072853081188,RZP-GROUP-NM-08,,6325.29,10226555.42
BNK000063,28/07/2026,28/07/2026,2026-07-28T11:46:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26072878072706-CITIN26072853081188,RZP-GROUP-NM-08,,6325.29,10232880.71
BNK000064,28/07/2026,28/07/2026,2026-07-28T15:12:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26072768569850-CITIN26072714726023,RZP-GROUP-NM-07,,226434.58,10459315.29
BNK000065,28/07/2026,28/07/2026,2026-07-28T16:24:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26072768569850-CITIN26072714726023,RZP-GROUP-NM-07,,228335.42,10687650.71
BNK000066,29/07/2026,29/07/2026,2026-07-29T14:04:00+00:00,OPERATING_CREDIT,IMPS-CB08200004-SUMMIT COMMERCE,CB08200004,,26783.00,10714433.71
BNK000067,30/07/2026,30/07/2026,2026-07-30T14:45:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT  CITIN26073053909493  RAZORPAY SOFTWARE PRIVATE LIM -,RZP-11-setl_dXg4PutvO1hWMS,5992.97,,10708440.74
BNK000068,03/08/2026,03/08/2026,2026-08-03T12:56:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26072876749006-CITIN26073015928453,RZP-GROUP-NM-09,,140226.79,10848667.53
BNK000069,03/08/2026,03/08/2026,2026-08-03T13:08:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26072876749006-CITIN26073015928453,RZP-GROUP-NM-09,,135822.20,10984489.73
BNK000070,03/08/2026,03/08/2026,2026-08-03T14:18:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26080349044300-CITIN26080357783639,RZP-GROUP-NM-10,,218227.01,11202716.74
BNK000071,03/08/2026,03/08/2026,2026-08-03T15:30:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26080349044300-CITIN26080357783639,RZP-GROUP-NM-10,,135822.20,11338538.94
BNK000072,04/08/2026,04/08/2026,2026-08-04T14:08:00+00:00,OPERATING_DEBIT,NEFT-CB08200008-VERTEX OFFICE SUPPLY,CB08200008,27479.00,,11311059.94
BNK000073,05/08/2026,05/08/2026,2026-08-05T10:52:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26080388134325-CITIN26080478781763,RZP-GROUP-NM-11,,112427.81,11423487.75
BNK000074,05/08/2026,05/08/2026,2026-08-05T11:02:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26080514264934-CITIN26080590253014,RZP-GROUP-NM-12,,155780.86,11579268.61
BNK000075,05/08/2026,05/08/2026,2026-08-05T12:14:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26080514264934-CITIN26080590253014,RZP-GROUP-NM-12,,112427.81,11691696.42
BNK000076,05/08/2026,05/08/2026,2026-08-05T16:40:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26080388134325-CITIN26080478781763,RZP-GROUP-NM-11,,288617.66,11980314.08
BNK000077,10/08/2026,10/08/2026,2026-08-10T13:24:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART1OF2-CITIN26080773123077-CITIN26081083893726,RZP-GROUP-NM-13,,112098.84,12092412.92
BNK000078,10/08/2026,10/08/2026,2026-08-10T14:36:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,RZP-NXM-PART2OF2-CITIN26080773123077-CITIN26081083893726,RZP-GROUP-NM-13,,190870.99,12283283.91
BNK000079,10/08/2026,10/08/2026,2026-08-10T15:56:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-1110393258-RAZORPAY SOFTWARE PRIVATE LIM-,RZP-11-setl_lqpecjkIRi6XHl,,183053.79,12466337.70
BNK000080,11/08/2026,11/08/2026,2026-08-11T10:18:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN260811-,RZP-11-setl_ntLL5DSYK3SNTQ,,22426.94,12488764.64
BNK000081,11/08/2026,11/08/2026,2026-08-11T11:29:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT  3685931389  RAZORPAY SOFTWARE PRIVATE LIM -,RZP-11-setl_UY2FIELlArQ3Lc,,218419.06,12707183.70
BNK000082,11/08/2026,11/08/2026,2026-08-11T16:07:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN260811-,RZP-11-setl_brAOFZubvE8FBi,,115225.52,12822409.22
BNK000083,13/08/2026,13/08/2026,2026-08-13T12:40:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN26081364634197-RAZORPAY SOFTWARE PRIVATE LIM-,RZP-11-setl_6CGdsOk2sZpa5R,,169447.60,12991856.82
BNK000084,13/08/2026,13/08/2026,2026-08-13T13:51:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT  CITIN26081321075092  RAZORPAY SOFTWARE PRIVATE LIM -,RZP-11-setl_6guwf0tUIPvxJe,,236416.62,13228273.44
BNK000085,17/08/2026,17/08/2026,2026-08-17T14:02:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-4673317469-RAZORPAY SOFTWARE PRIVATE LIM-,RZP-11-setl_VODZ18OGb9MKM4,,115499.20,13343772.64
BNK000086,17/08/2026,17/08/2026,2026-08-17T15:13:00+00:00,PAYMENT_GATEWAY_SETTLEMENT,NEFT-CITIN26081714793373-RAZORPAY SOFTWARE PRIVATE LIM-,RZP-11-setl_0X4re7lK95Ytyf,,246110.89,13589883.53
