transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,card_type,issuer_name,entity_created_at,payment_captured_at,payment_notes,refund_notes,arn,entity_description,order_id,order_receipt,order_notes,dispute_id,dispute_created_at,dispute_reason,settlement_id,settled_at,settlement_utr,settled_by
payment,pay_h7fRvq2QUg8Z1y,613.50,INR,12.27,2.21,0.00,599.02,upi,,,01/06/2026 05:23:19,01/06/2026 05:23:19,[],,,,order_lStvH6azqmdVvx,rcpt-39531,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 05:23:19,CITIN26060229663500,Razorpay
payment,pay_z1WLJgJdgScJpA,8867.00,INR,106.40,19.15,0.00,8741.45,card,debit,HDFC,46174.525555555556,01/06/2026 12:36:48,[],,,,order_EA54qGA2TyJt3w,rcpt-74600,[],,,,setl_2ybSd4d7inlUpZ,46175.525555555556,CITIN26060229663500,Razorpay
payment,pay_dslRriw2gO1tHy,2839.00,INR,34.07,6.13,0.00,2798.80,card,debit,,2026-06-01 19:49:17,2026-06-01 19:49:17,[],,,,order_vV4CtLAqTUwY7v,rcpt-62527,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 19:49:17,CITIN26060229663500,Razorpay
payment,pay_2jJJePkuBmbgkX,20192.00,INR,242.30,43.61,0.00,19906.09,card,debit,HDFC,46174.08525462963,01/06/2026 02:02:46,[],,,,order_SMm1RZlHaEMkBL,rcpt-38696,[],,,,setl_2ybSd4d7inlUpZ,02/06/2026 02:02:46,CITIN26060229663500,Razorpay
payment,pay_VzDU34GmrMAuRu,20170.00,INR,403.40,72.61,0.00,19693.99,upi,,,46174.38559027778,01/06/2026 09:15:15,[],,,,order_i0L9MO2aj0rxGI,rcpt-64208,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 09:15:15,CITIN26060229663500,Razorpay
payment,pay_midEnmBJOfwM6Z,7319.00,INR,146.38,26.35,0.00,7146.27,upi,,,2026-06-01 16:28:44,2026-06-01 16:28:44,[],,,,order_1PJCBFDwvKa251,rcpt-17431,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 16:28:44,CITIN26060229663500,Razorpay
payment,pay_G9NeP7y4JZ6bXL,4666.50,INR,93.33,16.80,0.00,4556.37,wallet,,,2026-06-01 23:41:13,2026-06-01 23:41:13,[],,,,order_g23aNs0JGWXaHC,rcpt-79011,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 23:41:13,CITIN26060229663500,Razorpay
payment,pay_YVmTzDDGpodhOe,14995.00,INR,262.41,47.23,0.00,14685.36,netbanking,,ICICI,46174.287986111114,2026-06-01 06:54:42,[],,,,order_84wRbCOgdMk725,rcpt-71121,[],,,,setl_2ybSd4d7inlUpZ,2026-02-06 06:54:42,CITIN26060229663500,Razorpay
payment,pay_yLveebXZUDmOiI,4567.00,INR,91.34,16.44,0.00,4459.22,upi,,,46174.54665509259,46174.54665509259,[],,,,order_8Hrz1PPjfz7CdV,rcpt-42235,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 13:07:11,CITIN26060229663500,Razorpay
payment,pay_uOYgjdxEZgvkh4,8121.00,INR,162.42,29.24,0.00,7929.34,upi,,,2026-06-01 20:20:40,46174.84768518519,[],,,,order_HQaYetK5V26lCM,rcpt-58423,[],,,,setl_2ybSd4d7inlUpZ,02/06/2026 20:20:40,CITIN26060229663500,Razorpay
payment,pay_L1FE6qk6dCuxOj,1939.00,INR,38.78,6.98,0.00,1893.24,upi,,,46174.14802083333,2026-06-01 03:33:09,[],,,,order_pdqnIfNB8501de,rcpt-69402,[],,,,setl_2ybSd4d7inlUpZ,02/06/2026 03:33:09,CITIN26060229663500,Razorpay
payment,pay_jrTKkVQ0LhRpl9,978.00,INR,19.56,3.52,0.00,954.92,wallet,,,01/06/2026 10:46:38,2026-01-06 10:46:38,[],,,,order_BaZze90QvZMtMC,rcpt-85142,[],,,,setl_2ybSd4d7inlUpZ,46175.44905092593,CITIN26060229663500,Razorpay
payment,pay_wCDjiRPTISWWqE,4235.50,INR,84.71,15.25,0.00,4135.54,upi,,,01/06/2026 17:59:07,01/06/2026 17:59:07,[],,,,order_ieElURQooeNqEt,rcpt-74710,[],,,,setl_2ybSd4d7inlUpZ,2026-06-02 17:59:07,CITIN26060229663500,Razorpay
payment,pay_nBMgekLzoQWQNb,4090.50,INR,49.09,8.84,0.00,4032.57,card,debit,KKBK,2026-06-01 00:12:36,2026-06-01 00:12:36,[],,,,order_itk7gpIC35mbDR,rcpt-34649,[],,,,setl_2ybSd4d7inlUpZ,02/06/2026 00:12:36,CITIN26060229663500,Razorpay
refund,rfnd_7Q8qEQ92DXjPJq,4090.50,INR,4.00,0.72,4095.22,0.00,,,,46175.30908564815,,,"{""refund_reason"": ""duplicate_order""}",860762573816,,,,,,,,setl_2ybSd4d7inlUpZ,02/06/2026 07:25:05,CITIN26060229663500,Razorpay
payment,pay_snJ47bkLTcz3sU,9767.00,INR,170.92,30.77,0.00,9565.31,netbanking,,AXIS,02/06/2026 14:38:34,2026-02-06 14:38:34,[],,,,order_2LBn9meZsffSb6,rcpt-78689,[],,,,setl_gG78kZpIihQKJA,04/06/2026 14:38:34,CITIN26060454312703,Razorpay
payment,pay_9h3MCMr2HlWYWe,4792.50,INR,95.85,17.25,0.00,4679.40,upi,,,2026-06-02 21:51:03,2026-06-02 21:51:03,[],,,,order_azjiyTMuq7Fd2l,rcpt-33261,[],,,,setl_gG78kZpIihQKJA,2026-06-04 21:51:03,CITIN26060454312703,Razorpay
payment,pay_0IVnMQeFkmxXHr,673.00,INR,13.46,2.42,0.00,657.12,upi,,,02/06/2026 04:04:32,46175.16981481481,[],,,,order_FxjuYkQc6EobTQ,rcpt-38921,[],,,,setl_gG78kZpIihQKJA,2026-06-04 04:04:32,CITIN26060454312703,Razorpay
payment,pay_BSySH6VjRAb6qt,977.00,INR,11.72,2.11,0.00,963.17,card,debit,AXIS,46175.47015046296,46175.47015046296,[],,,,order_5PkcFBhpCQ7zGY,rcpt-76556,[],,,,setl_gG78kZpIihQKJA,04/06/2026 11:17:01,CITIN26060454312703,Razorpay
payment,pay_THJhiqmIJGwDWz,682.00,INR,13.64,2.46,0.00,665.90,upi,,,2026-06-02 18:30:30,02/06/2026 18:30:30,[],,,,order_lx7sKp6FqPg5V0,rcpt-97916,[],,,,setl_gG78kZpIihQKJA,04/06/2026 18:30:30,CITIN26060454312703,Razorpay
payment,pay_QSv5kjlLjNYyvB,18613.50,INR,372.27,67.01,0.00,18174.22,upi,,,2026-06-02 01:43:59,02/06/2026 01:43:59,[],,,,order_lisfexeCdradDT,rcpt-52219,[],,,,setl_gG78kZpIihQKJA,2026-06-04 01:43:59,CITIN26060454312703,Razorpay
payment,pay_v2WCjtdTKUWXiD,7244.50,INR,144.89,26.08,0.00,7073.53,upi,,,2026-06-02 08:56:28,02/06/2026 08:56:28,[],,,,order_aTYS4PCFJfONB3,rcpt-51065,[],,,,setl_gG78kZpIihQKJA,2026-04-06 08:56:28,CITIN26060454312703,Razorpay
payment,pay_X4eDGWJsQqXXPq,7584.00,INR,151.68,27.30,0.00,7405.02,upi,,,2026-06-02 15:09:57,02/06/2026 15:09:57,[],,,,order_jAQoVkUnzT5X9J,rcpt-98985,[],,,,setl_gG78kZpIihQKJA,2026-04-06 15:09:57,CITIN26060454312703,Razorpay
payment,pay_FCOmyR4NFxzTgD,6235.50,INR,124.71,22.45,0.00,6088.34,upi,,,2026-06-02 22:22:26,2026-02-06 22:22:26,[],,,,order_71L13Z7Fxigpyc,rcpt-78418,[],,,,setl_gG78kZpIihQKJA,2026-06-04 22:22:26,CITIN26060454312703,Razorpay
payment,pay_FDV2tK595HvAOd,4733.00,INR,94.66,17.04,0.00,4621.30,upi,,,2026-06-02 05:35:55,2026-06-02 05:35:55,[],,,,order_YBRxXMajaNegfI,rcpt-11189,[],,,,setl_gG78kZpIihQKJA,04/06/2026 05:35:55,CITIN26060454312703,Razorpay
payment,pay_49vAgqDooDU7Va,17445.50,INR,305.30,54.95,0.00,17085.25,netbanking,,SBIN,2026-06-02 12:48:24,2026-06-02 12:48:24,[],,,,order_B6sEOHwnNawbQD,rcpt-42519,[],,,,setl_gG78kZpIihQKJA,2026-06-04 12:48:24,CITIN26060454312703,Razorpay
payment,pay_6OSycnmngqaiTK,13597.50,INR,163.17,29.37,0.00,13404.96,card,debit,AXIS,46175.792974537035,46175.792974537035,[],,,,order_RNA6XRqsC2YqU6,rcpt-72046,[],,,,setl_gG78kZpIihQKJA,2026-06-04 19:01:53,CITIN26060454312703,Razorpay
payment,pay_qHAx31KE6uU53x,16062.00,INR,192.74,34.69,0.00,15834.57,card,debit,ICICI,2026-06-02 02:14:22,2026-06-02 02:14:22,[],,,,order_GlAi1UIjYKqkeO,rcpt-33071,[],,,,setl_gG78kZpIihQKJA,2026-06-04 02:14:22,CITIN26060454312703,Razorpay
payment,pay_5CeBTuSBktMzXQ,381.50,INR,7.63,1.37,0.00,372.50,upi,,,2026-06-02 09:27:51,2026-06-02 09:27:51,[],,,,order_6kGI9i8axrYvCL,rcpt-47066,[],,,,setl_gG78kZpIihQKJA,2026-06-04 09:27:51,CITIN26060454312703,Razorpay
payment,pay_o0suLlx9dJxcLY,3924.50,INR,78.49,14.13,0.00,3831.88,upi,,,2026-06-02 16:40:20,2026-06-02 16:40:20,[],,,,order_qebSWO4l5ksqCR,rcpt-29581,[],,,,setl_gG78kZpIihQKJA,2026-06-04 16:40:20,CITIN26060454312703,Razorpay
payment,pay_7vIHL6kEJoNyDZ,4709.50,INR,94.19,16.95,0.00,4598.36,upi,,,46175.99570601852,02/06/2026 23:53:49,[],,,,order_XJ2MoweoRmHTpo,rcpt-44712,[],,,,setl_gG78kZpIihQKJA,04/06/2026 23:53:49,CITIN26060454312703,Razorpay
payment,pay_4KrK8KD0F4P7X3,10904.50,INR,218.09,39.26,0.00,10647.15,upi,,,2026-06-02 06:06:18,02/06/2026 06:06:18,[],,,,order_1iqaRKPDFr7Acn,rcpt-97549,[],,,,setl_gG78kZpIihQKJA,2026-06-04 06:06:18,CITIN26060454312703,Razorpay
payment,pay_CKNZQmnZMPj76N,3541.00,INR,70.82,12.75,0.00,3457.43,upi,,,2026-06-02 13:19:47,46175.55540509259,[],,,,order_i9lWt56xlX7HlE,rcpt-28065,[],,,,setl_gG78kZpIihQKJA,04/06/2026 13:19:47,CITIN26060454312703,Razorpay
payment,pay_u4bvxR2Id09MoU,1366.00,INR,34.15,6.15,0.00,1325.70,card,credit,SBIN,02/06/2026 20:32:16,02/06/2026 20:32:16,[],,,,order_iaD3HPPC6amRzc,rcpt-13092,[],,,,setl_gG78kZpIihQKJA,04/06/2026 20:32:16,CITIN26060454312703,Razorpay
payment,pay_KgDi5FhYQMhlpf,21839.00,INR,436.78,78.62,0.00,21323.60,wallet,,,2026-06-02 03:45:45,2026-06-02 03:45:45,[],,,,order_MtUsU3QE7tkJh2,rcpt-58180,[],,,,setl_gG78kZpIihQKJA,2026-06-04 03:45:45,CITIN26060454312703,Razorpay
payment,pay_I4ooeITJ59fFzt,1642.00,INR,32.84,5.91,0.00,1603.25,upi,,,2026-06-02 10:58:14,2026-06-02 10:58:14,[],,,,order_BEYwzyUiOVckF9,rcpt-37403,[],,,,setl_gG78kZpIihQKJA,2026-06-04 10:58:14,CITIN26060454312703,Razorpay
payment,pay_WqoO3VFOkjOmMb,411.50,INR,8.23,1.48,0.00,401.79,card,credit,AXIS,2026-06-02 17:11:43,02/06/2026 17:11:43,[],,,,order_KkQWBTGaU23Fm6,rcpt-77678,[],,,,setl_gG78kZpIihQKJA,2026-06-04 17:11:43,CITIN26060454312703,Razorpay
payment,pay_FHsZUgm5hPRFll,772.50,INR,15.45,2.78,0.00,754.27,upi,,,2026-06-02 00:24:12,02/06/2026 00:24:12,[],,,,order_LC5ZoKLP7voN8c,rcpt-55904,[],,,,setl_gG78kZpIihQKJA,04/06/2026 00:24:12,CITIN26060454312703,Razorpay
payment,pay_PH2JTmCkpvqlSR,12238.00,INR,214.17,38.55,0.00,11985.28,netbanking,,ICICI,46175.31783564815,02/06/2026 07:37:41,[],,,,order_1lQ8TuY0UHgsKh,rcpt-65614,[],,,,setl_gG78kZpIihQKJA,04/06/2026 07:37:41,CITIN26060454312703,Razorpay
payment,pay_RYhfKwBulKIypR,360.50,INR,7.21,1.30,0.00,351.99,upi,,,2026-06-02 14:50:10,46175.61817129629,[],,,,order_LYtH8WPSBqc9Bi,rcpt-29662,[],,,,setl_gG78kZpIihQKJA,04/06/2026 14:50:10,CITIN26060454312703,Razorpay
payment,pay_pjs4OrRmWZPDPw,9678.00,INR,169.37,30.49,0.00,9478.14,netbanking,,AXIS,2026-06-02 21:03:39,2026-06-02 21:03:39,[],,,,order_RfBptFO1yudakf,rcpt-78267,[],,,,setl_gG78kZpIihQKJA,2026-06-04 21:03:39,CITIN26060454312703,Razorpay
payment,pay_PAK8hl5lRZblGw,4772.00,INR,83.51,15.03,0.00,4673.46,netbanking,,AXIS,02/06/2026 04:16:08,2026-06-02 04:16:08,[],,,,order_xV0AzGoRJLT5em,rcpt-31394,[],,,,setl_gG78kZpIihQKJA,46177.17787037037,CITIN26060454312703,Razorpay
payment,pay_ZZhdbxOuH3cCM2,1926.50,INR,38.53,6.94,0.00,1881.03,upi,,,2026-06-02 11:29:37,46175.478900462964,[],,,,order_rqR0hzDM1gnmp9,rcpt-85821,[],,,,setl_gG78kZpIihQKJA,46177.478900462964,CITIN26060454312703,Razorpay
payment,pay_5QcCx1iRWRm26X,2700.00,INR,54.00,9.72,0.00,2636.28,card,credit,KKBK,46175.77923611111,2026-06-02 18:42:06,[],,,,order_JWPS7YmHIPz02l,rcpt-82743,[],,,,setl_gG78kZpIihQKJA,04/06/2026 18:42:06,CITIN26060454312703,Razorpay
payment,pay_Qdxk2r121qfIrI,11655.50,INR,139.87,25.18,0.00,11490.45,card,debit,AXIS,02/06/2026 01:55:35,02/06/2026 01:55:35,[],,,,order_OK7j8zFe3P4edy,rcpt-34988,[],,,,setl_gG78kZpIihQKJA,2026-06-04 01:55:35,CITIN26060454312703,Razorpay
payment,pay_7pLrymTpJG73xw,235.50,INR,4.71,0.85,0.00,229.94,card,credit,SBIN,2026-06-02 08:08:04,2026-06-02 08:08:04,[],,,,order_pZ3mTlOpqtBusg,rcpt-52438,[],,,,setl_gG78kZpIihQKJA,2026-06-04 08:08:04,CITIN26060454312703,Razorpay
payment,pay_XHHn3u1NKYGG0f,338.50,INR,4.06,0.73,0.00,333.71,card,debit,KKBK,2026-06-03 15:21:33,2026-06-03 15:21:33,[],,,,order_4Xz8jud9fNOlIA,rcpt-54047,[],,,,setl_5g70VduXp32PWu,04/06/2026 15:21:33,CITIN26060465680222,Razorpay
payment,pay_hTpiyFAplEWNk2,658.00,INR,13.16,2.37,0.00,642.47,upi,,,2026-06-03 22:34:02,2026-03-06 22:34:02,[],,,,order_3TxRSdR7D2JHph,rcpt-22909,[],,,,setl_5g70VduXp32PWu,2026-06-04 22:34:02,CITIN26060465680222,Razorpay
payment,pay_PNDNLVwPFtvz9k,368.50,INR,7.37,1.33,0.00,359.80,upi,,,2026-06-03 05:47:31,03/06/2026 05:47:31,[],,,,order_XUfu2Z8F3uAEnT,rcpt-99381,[],,,,setl_5g70VduXp32PWu,2026-06-04 05:47:31,CITIN26060465680222,Razorpay
payment,pay_4SS2F8k1qM2EkF,492.00,INR,5.90,1.06,0.00,485.04,card,debit,AXIS,2026-06-03 12:00:00,2026-06-03 12:00:00,[],,,,order_1i86cz8AjemvaB,rcpt-36769,[],,,,setl_5g70VduXp32PWu,2026-06-04 12:00:00,CITIN26060465680222,Razorpay
payment,pay_QFT0kC2MC7uQtd,501.50,INR,8.78,1.58,0.00,491.14,netbanking,,HDFC,2026-06-03 19:13:29,03/06/2026 19:13:29,[],,,,order_32u5jDap7z7x9B,rcpt-18448,[],,,,setl_5g70VduXp32PWu,2026-06-04 19:13:29,CITIN26060465680222,Razorpay
payment,pay_IwxRszRleEOs7B,1025.50,INR,20.51,3.69,0.00,1001.30,upi,,,03/06/2026 02:26:58,46176.102060185185,[],,,,order_GkwwU8tPGOHnJn,rcpt-34816,[],,,,setl_5g70VduXp32PWu,46177.102060185185,CITIN26060465680222,Razorpay
payment,pay_uc64YHRyQZB3JO,15607.00,INR,312.14,56.19,0.00,15238.67,upi,,,2026-06-03 09:39:27,2026-06-03 09:39:27,[],,,,order_KXEheLRl7s5arr,rcpt-19152,[],,,,setl_5g70VduXp32PWu,04/06/2026 09:39:27,CITIN26060465680222,Razorpay
payment,pay_ydTFOMWPLF3lz3,3998.50,INR,79.97,14.39,0.00,3904.14,upi,,,03/06/2026 16:52:56,2026-06-03 16:52:56,[],,,,order_PoRubSPmfUsFkp,rcpt-49991,[],,,,setl_5g70VduXp32PWu,46177.70342592592,CITIN26060465680222,Razorpay
payment,pay_S9Y1a00sOzPjuB,1887.50,INR,37.75,6.80,0.00,1842.95,upi,,,03/06/2026 23:05:25,2026-06-03 23:05:25,[],,,,order_v6JUpuszbMf0NQ,rcpt-82184,[],,,,setl_5g70VduXp32PWu,2026-06-04 23:05:25,CITIN26060465680222,Razorpay
payment,pay_Cf4ePP0lSxnuuP,13861.50,INR,242.58,43.66,0.00,13575.26,netbanking,,ICICI,03/06/2026 06:18:54,2026-06-03 06:18:54,[],,,,order_SgfcRZQlRAxmEx,rcpt-32937,[],,,,setl_5g70VduXp32PWu,04/06/2026 06:18:54,CITIN26060465680222,Razorpay
payment,pay_MxNnIIKvf1vvfK,15360.00,INR,307.20,55.30,0.00,14997.50,upi,,,2026-06-03 13:31:23,2026-03-06 13:31:23,[],,,,order_8tX7UPuxI7hGSH,rcpt-61418,[],,,,setl_5g70VduXp32PWu,2026-06-04 13:31:23,CITIN26060465680222,Razorpay
payment,pay_a82IGgZAVPMfQD,16431.50,INR,328.63,59.15,0.00,16043.72,upi,,,03/06/2026 20:44:52,46176.86449074074,[],,,,order_ARjxW2Z9VuvCMt,rcpt-30688,[],,,,setl_5g70VduXp32PWu,04/06/2026 20:44:52,CITIN26060465680222,Razorpay
payment,pay_vodIBFifu8CSp8,318.00,INR,6.36,1.14,0.00,310.50,upi,,,2026-06-03 03:57:21,2026-06-03 03:57:21,[],,,,order_la8ixUg1D0TDJE,rcpt-82527,[],,,,setl_5g70VduXp32PWu,2026-06-04 03:57:21,CITIN26060465680222,Razorpay
payment,pay_M1Fl52RJZxwkD2,20538.50,INR,410.77,73.94,0.00,20053.79,upi,,,03/06/2026 10:10:50,46176.42418981482,[],,,,order_hVdLH69IC0xCZ8,rcpt-81032,[],,,,setl_5g70VduXp32PWu,04/06/2026 10:10:50,CITIN26060465680222,Razorpay
payment,pay_xo0V8L3DAzd0Ec,683.00,INR,13.66,2.46,0.00,666.88,card,credit,AXIS,2026-06-03 17:23:19,2026-06-03 17:23:19,[],,,,order_OgkJFSNuGifHjL,rcpt-90284,[],,,,setl_5g70VduXp32PWu,2026-06-04 17:23:19,CITIN26060465680222,Razorpay
payment,pay_RCaULJllRtOcRK,20295.00,INR,405.90,73.06,0.00,19816.04,upi,,,2026-06-03 00:36:48,2026-06-03 00:36:48,[],,,,order_rGWMAROSmZeZ8V,rcpt-86062,[],,,,setl_5g70VduXp32PWu,2026-06-04 00:36:48,CITIN26060465680222,Razorpay
payment,pay_eJm1BLXNA3vuLG,17997.50,INR,359.95,64.79,0.00,17572.76,upi,,,2026-06-03 07:49:17,2026-06-03 07:49:17,[],,,,order_ARqkz9GzFVzBXw,rcpt-10071,[],,,,setl_5g70VduXp32PWu,2026-06-04 07:49:17,CITIN26060465680222,Razorpay
payment,pay_38YqvyJNcAD1my,13461.00,INR,161.53,29.08,0.00,13270.39,card,debit,KKBK,2026-06-03 14:02:46,2026-06-03 14:02:46,[],,,,order_VHm9f2rDSPD7Mf,rcpt-93929,[],,,,setl_5g70VduXp32PWu,2026-06-04 14:02:46,CITIN26060465680222,Razorpay
payment,pay_zf0gsU6FOxRLIk,380.50,INR,7.61,1.37,0.00,371.52,wallet,,,2026-06-03 21:15:15,03/06/2026 21:15:15,[],,,,order_7Ug79xXO4m6fx4,rcpt-93231,[],,,,setl_5g70VduXp32PWu,2026-06-04 21:15:15,CITIN26060465680222,Razorpay
payment,pay_JHKnC3EQvAuo0J,243.00,INR,4.86,0.87,0.00,237.27,card,credit,,2026-06-03 04:28:44,46176.18662037037,[],,,,order_vjzUNQq1osP04o,rcpt-27013,[],,,,setl_5g70VduXp32PWu,2026-04-06 04:28:44,CITIN26060465680222,Razorpay
payment,pay_2zfEb3OpAks50a,13571.00,INR,162.85,29.31,0.00,13378.84,card,debit,,2026-06-03 11:41:13,2026-06-03 11:41:13,[],,,,order_x3dFZuDvylYiPn,rcpt-68947,[],,,,setl_5g70VduXp32PWu,04/06/2026 11:41:13,CITIN26060465680222,Razorpay
payment,pay_JsOrQgeJZsPJKp,996.00,INR,19.92,3.59,0.00,972.49,upi,,,03/06/2026 18:54:42,2026-06-03 18:54:42,[],,,,order_libPNCE2XPeevW,rcpt-42830,[],,,,setl_5g70VduXp32PWu,46177.787986111114,CITIN26060465680222,Razorpay
payment,pay_ZuBdYtEBhsbQMc,400.00,INR,7.00,1.26,0.00,391.74,netbanking,,SBIN,46176.04665509259,46176.04665509259,[],,,,order_mLR4SJdpohlKyM,rcpt-69447,[],,,,setl_5g70VduXp32PWu,2026-06-04 01:07:11,CITIN26060465680222,Razorpay
payment,pay_I5LBGqAYyx6wqh,16573.50,INR,290.04,52.21,0.00,16231.25,netbanking,,AXIS,2026-06-03 08:20:40,2026-06-03 08:20:40,[],,,,order_b6a8tkbuOclewB,rcpt-72065,[],,,,setl_5g70VduXp32PWu,46177.34768518519,CITIN26060465680222,Razorpay
payment,pay_3W1247zh6zVGYg,3070.00,INR,36.84,6.63,0.00,3026.53,card,debit,ICICI,2026-03-06 15:33:09,2026-03-06 15:33:09,[],,,,order_ZxHA4nIys6fh88,rcpt-78978,[],,,,setl_5g70VduXp32PWu,2026-06-04 15:33:09,CITIN26060465680222,Razorpay
payment,pay_ZJGunneCrsApzM,11548.00,INR,230.96,41.57,0.00,11275.47,upi,,,2026-06-03 22:46:38,03/06/2026 22:46:38,[],,,,order_KLfdsSd2oaSnGR,rcpt-88216,[],,,,setl_5g70VduXp32PWu,2026-06-04 22:46:38,CITIN26060465680222,Razorpay
payment,pay_nDQsmYRl0b4Iqe,893.00,INR,17.86,3.21,0.00,871.93,upi,,,46176.249386574076,2026-06-03 05:59:07,[],,,,order_EkTmaCDJoErjGU,rcpt-35884,[],,,,setl_5g70VduXp32PWu,2026-06-04 05:59:07,CITIN26060465680222,Razorpay
payment,pay_Vvn8lewcEMYWuQ,642.00,INR,12.84,2.31,0.00,626.85,card,credit,AXIS,46176.50875,2026-06-03 12:12:36,[],,,,order_Ey6ZUls7dz3bpb,rcpt-45724,[],,,,setl_5g70VduXp32PWu,2026-06-04 12:12:36,CITIN26060465680222,Razorpay
payment,pay_GsmPm9fcEnvQfC,4964.50,INR,99.29,17.87,0.00,4847.34,card,credit,,03/06/2026 19:25:05,2026-06-03 19:25:05,[],,,,order_LbXn5Lej9CWEiF,rcpt-62507,[],,,,setl_5g70VduXp32PWu,2026-06-04 19:25:05,CITIN26060465680222,Razorpay
payment,pay_mii55YcPUALi4x,819.50,INR,16.39,2.95,0.00,800.16,upi,,,46176.11011574074,2026-06-03 02:38:34,[],,,,order_qYo7DFBv0JFGSc,rcpt-61336,[],,,,setl_5g70VduXp32PWu,46177.11011574074,CITIN26060465680222,Razorpay
payment,pay_O97x1eYOQmY00h,401.50,INR,8.03,1.45,0.00,392.02,card,credit,ICICI,2026-06-03 09:51:03,2026-06-03 09:51:03,[],,,,order_nKa6A8erGYfWxb,rcpt-16446,[],,,,setl_5g70VduXp32PWu,46177.41045138889,CITIN26060465680222,Razorpay
payment,pay_xpjluh0wioEOn4,10119.00,INR,202.38,36.43,0.00,9880.19,upi,,,2026-03-06 16:04:32,46176.66981481481,[],,,,order_kdEiFBS8qUcL3m,rcpt-55575,[],,,,setl_5g70VduXp32PWu,46177.66981481481,CITIN26060465680222,Razorpay
